Var_ID,Variant,Ref_Modal,Variant_Slug,Var_Location,Price,Modal_ID,Ref_Brand,Engine,Cylinders,Drive_Type,Fuel_Tank,Fuel_Economy,Fuel_Type,Horsepower,Torque,Transmission,Seating_Capacity,Acceleration,Battery_Size,Battery_Range,Motor,Top_Speed,Featured_Image,Gallery,Status,Created_At
410,"3.5L EcoBoost Tremor",F-150,3-5l-ecoboost-tremor,KSA,TBD,410,271,3.5,6,"All Wheel Drive",87,,Petrol,400,677,Automatic,"5 Seater",,,,,,Ford-F-150-2024-3.5L-EcoBoost-Tremor,Ford-F-150-2024-3.5L-EcoBoost-Tremor,Publish,"0000-00-00 00:00:00"
411,"3.5L EcoBoost SuperCrew Cab XLT",F-150,3-5l-ecoboost-supercrew-cab-xlt,KSA,TBD,411,271,3.5,6,"All Wheel Drive",87,11.2,Petrol,375,637,Automatic,"5 Seater",6,,,,160,Ford-F-150-2024-3.5L-EcoBoost-SuperCrew-Cab-XLT,Ford-F-150-2024-3.5L-EcoBoost-SuperCrew-Cab-XLT,Publish,"0000-00-00 00:00:00"
412,"3.5L EcoBoost SuperCrew Cab XLT FX4",F-150,3-5l-ecoboost-supercrew-cab-xlt-fx4,KSA,TBD,412,271,3.5,6,"All Wheel Drive",87,11.2,Petrol,375,637,Automatic,"5 Seater",6,,,,160,Ford-F-150-2024-3.5L-EcoBoost-SuperCrew-Cab-XLT-FX4,Ford-F-150-2024-3.5L-EcoBoost-SuperCrew-Cab-XLT-FX4,Publish,"0000-00-00 00:00:00"
413,"3.5T Power Boost Hybrid V6 SuperCrew XLT FX4",F-150,3-5t-power-boost-hybrid-v6-supercrew-xlt-fx4,KSA,TBD,413,271,3.5,6,"All Wheel Drive",116,8.4,Hybrid,430,773,Automatic,"5 Seater",5.6,,,,160,Ford-F-150-2024-3.5T-Power-Boost-Hybrid-V6-SuperCrew-XLT-FX4,Ford-F-150-2024-3.5T-Power-Boost-Hybrid-V6-SuperCrew-XLT-FX4,Publish,"0000-00-00 00:00:00"
414,"2.3T Big Bend","Bronco 2-door",2-3t-big-bend,KSA,TBD,414,271,2.3,4,"All Wheel Drive",,9.6,Petrol,270,420,Automatic,"4 Seater",7.2,,,,200,Ford-Bronco-2-door-2024-2.3T-Big-Bend,Ford-Bronco-2-door-2024-2.3T-Big-Bend,Publish,"0000-00-00 00:00:00"
415,"2.7T WildTrack","Bronco 2-door",2-7t-wildtrack,KSA,TBD,415,271,2.7,6,"All Wheel Drive",,10.6,Petrol,310,542,Automatic,"5 Seater",6.8,,,,200,Ford-Bronco-2-door-2024-2.7T-WildTrack,Ford-Bronco-2-door-2024-2.7T-WildTrack,Publish,"0000-00-00 00:00:00"
416,"2.7T WildTrack - Leather","Bronco 2-door",2-7t-wildtrack---leather,KSA,TBD,416,271,2.7,6,"All Wheel Drive",,10.6,Petrol,310,542,Automatic,"5 Seater",6.8,,,,200,Ford-Bronco-2-door-2024-2.7T-WildTrack---Leather,Ford-Bronco-2-door-2024-2.7T-WildTrack---Leather,Publish,"0000-00-00 00:00:00"
417,"1.8T Ecoboost Ambient",Territory,1-8t-ecoboost-ambient,KSA,"1,03,385",417,271,1.8,4,"Front Wheel Drive",60,,Petrol,190,320,Automatic,"5 Seater",,,,,,Ford-Territory-2024-1.8T-Ecoboost-Ambient,Ford-Territory-2024-1.8T-Ecoboost-Ambient,Publish,"0000-00-00 00:00:00"
418,"1.8T Ecooboost Trend",Territory,1-8t-ecooboost-trend,KSA,"1,15,000",418,271,1.8,4,"Front Wheel Drive",60,,Petrol,190,320,Automatic,"5 Seater",,,,,,Ford-Territory-2024-1.8T-Ecooboost-Trend,Ford-Territory-2024-1.8T-Ecooboost-Trend,Publish,"0000-00-00 00:00:00"
419,"1.8T Ecooboost Titanium",Territory,1-8t-ecooboost-titanium,KSA,"1,30,755",419,271,1.8,4,"Front Wheel Drive",60,,Petrol,190,320,Automatic,"5 Seater",,,,,,Ford-Territory-2024-1.8T-Ecooboost-Titanium,Ford-Territory-2024-1.8T-Ecooboost-Titanium,Publish,"0000-00-00 00:00:00"
420,"3.0T Double Cab 4X4","Ranger Raptor",3-0t-double-cab-4x4,KSA,TBD,420,271,3,6,"All Wheel Drive",80,11.7,Petrol,392,583,Automatic,"N A",6,,,,,Ford-Ranger-Raptor-2024-3.0T-Double-Cab-4X4,Ford-Ranger-Raptor-2024-3.0T-Double-Cab-4X4,Publish,"0000-00-00 00:00:00"
421,"3.0T V6 EcoBoost","Bronco Raptor",3-0t-v6-ecoboost,KSA,TBD,421,271,3,6,"All Wheel Drive",80,15.7,Petrol,418,598,Automatic,"5 Seater",,,,,,Ford-Bronco-Raptor-2024-3.0T-V6-EcoBoost,Ford-Bronco-Raptor-2024-3.0T-V6-EcoBoost,Publish,"0000-00-00 00:00:00"
422,"2.3L XLS AWD",Everest,2-3l-xls-awd,KSA,"1,42,900",422,271,2.3,4,"All Wheel Drive",,7.9,Petrol,296,420,Automatic,"5 Seater",9.5,,,,,Ford-Everest-2024-2.3L-XLS-AWD,Ford-Everest-2024-2.3L-XLS-AWD,Publish,"0000-00-00 00:00:00"
423,"2.3L XLT AWD",Everest,2-3l-xlt-awd,KSA,"1,73,900",423,271,2.3,4,"All Wheel Drive",,7.9,Petrol,296,420,Automatic,"5 Seater",9.5,,,,,Ford-Everest-2024-2.3L-XLT-AWD,Ford-Everest-2024-2.3L-XLT-AWD,Publish,"0000-00-00 00:00:00"
424,"2.3L Limited AWD",Everest,2-3l-limited-awd,KSA,"1,85,900",424,271,2.3,4,"All Wheel Drive",,7.9,Petrol,296,420,Automatic,"5 Seater",9.5,,,,,Ford-Everest-2024-2.3L-Limited-AWD,Ford-Everest-2024-2.3L-Limited-AWD,Publish,"0000-00-00 00:00:00"
425,"1.5L Ambiente H/B",Figo,1-5l-ambiente-h-b,KSA,TBD,425,271,1.5,4,"Front Wheel Drive",42,5.9,Petrol,110,136,Automatic,"5 Seater",11.5,,,,175,Ford-Figo-2024-1.5L-Ambiente-H-B,Ford-Figo-2024-1.5L-Ambiente-H-B,Publish,"0000-00-00 00:00:00"
426,"1.5L Trend H/B",Figo,1-5l-trend-h-b,KSA,TBD,426,271,1.5,4,"Front Wheel Drive",42,5.9,Petrol,110,136,Automatic,"5 Seater",11.5,,,,175,Ford-Figo-2024-1.5L-Trend-H-B,Ford-Figo-2024-1.5L-Trend-H-B,Publish,"0000-00-00 00:00:00"
427,"1.5 Ambiente",EcoSport,1-5-ambiente,KSA,DISCONTINUED,427,271,1.5,N/A,"Front Wheel Drive",52,6.8,Petrol,120,151,Automatic,"5 Seater",12.3,,,,170,Ford-EcoSport-2024-1.5-Ambiente,Ford-EcoSport-2024-1.5-Ambiente,Publish,"0000-00-00 00:00:00"
428,"1.5 Trend",EcoSport,1-5-trend,KSA,DISCONTINUED,428,271,1.5,N/A,"Front Wheel Drive",52,6.1,Petrol,120,151,Automatic,"5 Seater",12.3,,,,170,Ford-EcoSport-2024-1.5-Trend,Ford-EcoSport-2024-1.5-Trend,Publish,"0000-00-00 00:00:00"
429,"2.0L EcoBoost Ambient",Taurus,2-0l-ecoboost-ambient,KSA,"1,25,063",429,271,2,4,"Front Wheel Drive",66,6.5,Petrol,232,388,Automatic,"5 Seater",,,,,200,Ford-Taurus-2024-2.0L-EcoBoost-Ambient,Ford-Taurus-2024-2.0L-EcoBoost-Ambient,Publish,"0000-00-00 00:00:00"
430,"2.0L EcoBoost Trend",Taurus,2-0l-ecoboost-trend,KSA,"1,35,125",430,271,2,4,"Front Wheel Drive",66,6.5,Petrol,232,388,Automatic,"5 Seater",,,,,200,Ford-Taurus-2024-2.0L-EcoBoost-Trend,Ford-Taurus-2024-2.0L-EcoBoost-Trend,Publish,"0000-00-00 00:00:00"
431,"2.0L EcoBoost Titanium",Taurus,2-0l-ecoboost-titanium,KSA,"1,49,960",431,271,2,4,"Front Wheel Drive",66,6.5,Petrol,232,388,Automatic,"5 Seater",,,,,200,Ford-Taurus-2024-2.0L-EcoBoost-Titanium,Ford-Taurus-2024-2.0L-EcoBoost-Titanium,Publish,"0000-00-00 00:00:00"
432,"1.5 Titanium",EcoSport,1-5-titanium,KSA,DISCONTINUED,432,271,1.5,4,"Front Wheel Drive",52,6.1,Petrol,120,151,Automatic,"5 Seater",12.3,,,,170,Ford-EcoSport-2024-1.5-Titanium,Ford-EcoSport-2024-1.5-Titanium,Publish,"0000-00-00 00:00:00"
433,"2.5L S",Escape,2-5l-s,KSA,TBD,433,271,2.5,4,"Front Wheel Drive",60,7.3,Petrol,168,230,Automatic,"5 Seater",10.1,,,,180,Ford-Escape-2024-2.5L-S,Ford-Escape-2024-2.5L-S,Publish,"0000-00-00 00:00:00"
434,"2.0T Trend",Edge,2-0t-trend,KSA,TBD,434,271,2,4,"Front Wheel Drive",69.6,,Petrol,250,373,Automatic,"5 Seater",,,,,,Ford-Edge-2024-2.0T-Trend,Ford-Edge-2024-2.0T-Trend,Publish,"0000-00-00 00:00:00"
435,"2.5L SE",Escape,2-5l-se,KSA,TBD,435,271,2.5,4,"Front Wheel Drive",60,7.3,Petrol,168,230,Automatic,"5 Seater",10.1,,,,180,Ford-Escape-2024-2.5L-SE,Ford-Escape-2024-2.5L-SE,Publish,"0000-00-00 00:00:00"
436,"2.0T Double Cab (XLT) 4X4",Ranger,2-0t-double-cab-xlt-4x4,KSA,TBD,436,271,2,4,"All Wheel Drive",80,,Diesel,168,350,Automatic,"5 Seater",,,,,170,Ford-Ranger-2024-2.0T-Double-Cab-XLT-4X4,Ford-Ranger-2024-2.0T-Double-Cab-XLT-4X4,Publish,"0000-00-00 00:00:00"
437,"2.0T Double Cab (Wild Track) 4X4",Ranger,2-0t-double-cab-wild-track-4x4,KSA,TBD,437,271,2,4,"All Wheel Drive",80,,Diesel,210,500,Automatic,"5 Seater",,,,,,Ford-Ranger-2024-2.0T-Double-Cab-Wild-Track-4X4,Ford-Ranger-2024-2.0T-Double-Cab-Wild-Track-4X4,Publish,"0000-00-00 00:00:00"
438,"2.0T Double Cab (XL) High 4X4",Ranger,2-0t-double-cab-xl-high-4x4,KSA,TBD,438,271,2,4,"All Wheel Drive",80,,Diesel,168,350,Automatic,"5 Seater",,,,,170,Ford-Ranger-2024-2.0T-Double-Cab-XL-High-4X4,Ford-Ranger-2024-2.0T-Double-Cab-XL-High-4X4,Publish,"0000-00-00 00:00:00"
439,"2.3L EcoBoost XLT (Mid Option) AWD",Explorer,2-3l-ecoboost-xlt-mid-option-awd,KSA,TBD,439,271,2.3,4,"All Wheel Drive",67,7.8,Petrol,300,420,Automatic,"7 Seater",6.8,,,,180,Ford-Explorer-2024-2.3L-EcoBoost-XLT-Mid-Option-AWD,Ford-Explorer-2024-2.3L-EcoBoost-XLT-Mid-Option-AWD,Publish,"0000-00-00 00:00:00"
440,"2.3L EcoBoost Limited AWD",Explorer,2-3l-ecoboost-limited-awd,KSA,TBD,440,271,2.3,4,"All Wheel Drive",67,7.8,Petrol,300,420,Automatic,"7 Seater",6.8,,,,180,Ford-Explorer-2024-2.3L-EcoBoost-Limited-AWD,Ford-Explorer-2024-2.3L-EcoBoost-Limited-AWD,Publish,"0000-00-00 00:00:00"
441,"3.3L EcoBoost Base (AWD)",Explorer,3-3l-ecoboost-base-awd,KSA,TBD,441,271,3.3,6,"All Wheel Drive",67,7.8,Petrol,285,353,Automatic,"7 Seater",6.8,,,,180,Ford-Explorer-2024-3.3L-EcoBoost-Base-AWD,Ford-Explorer-2024-3.3L-EcoBoost-Base-AWD,Publish,"0000-00-00 00:00:00"
442,"3.3L Limited V6 Hybrid (AWD)",Explorer,3-3l-limited-v6-hybrid-awd,KSA,TBD,442,271,3.3,6,"All Wheel Drive",67,9.4,Petrol,318,437,Automatic,"7 Seater",7.1,,,,237,Ford-Explorer-2024-3.3L-Limited-V6-Hybrid-AWD,Ford-Explorer-2024-3.3L-Limited-V6-Hybrid-AWD,Publish,"0000-00-00 00:00:00"
443,"3.0L EcoBoost ST (AWD)",Explorer,3-0l-ecoboost-st-awd,KSA,TBD,443,271,3,6,"All Wheel Drive",67,11.7,Petrol,400,563,Automatic,"7 Seater",5.5,,,,237,Ford-Explorer-2024-3.0L-EcoBoost-ST-AWD,Ford-Explorer-2024-3.0L-EcoBoost-ST-AWD,Publish,"0000-00-00 00:00:00"
444,"2.3L EcoBoost XLT w/Moonroof (AWD)",Explorer,2-3l-ecoboost-xlt-w-moonroof-awd,KSA,TBD,444,271,2.3,4,"All Wheel Drive",67,7.8,Petrol,300,420,Automatic,"7 Seater",6.8,,,,180,Ford-Explorer-2024-2.3L-EcoBoost-XLT-w-Moonroof-AWD,Ford-Explorer-2024-2.3L-EcoBoost-XLT-w-Moonroof-AWD,Publish,"0000-00-00 00:00:00"
445,"3.5T EcoBoost Timberline AWD",Expedition,3-5t-ecoboost-timberline-awd,KSA,TBD,445,271,3.5,6,"All Wheel Drive",107,12.3,Petrol,440,691,Automatic,"8 Seater",6,,,,190,Ford-Expedition-2024-3.5T-EcoBoost-Timberline-AWD,Ford-Expedition-2024-3.5T-EcoBoost-Timberline-AWD,Publish,"0000-00-00 00:00:00"
446,"3.5L EcoBoost Stealth",Expedition,3-5l-ecoboost-stealth,KSA,TBD,446,271,3.5,6,"All Wheel Drive",107,12.3,Petrol,400,650,Automatic,"8 Seater",6,,,,190,Ford-Expedition-2024-3.5L-EcoBoost-Stealth,Ford-Expedition-2024-3.5L-EcoBoost-Stealth,Publish,"0000-00-00 00:00:00"
447,"2.0L EcoBoost SE (AWD)",Escape,2-0l-ecoboost-se-awd,KSA,TBD,447,271,2,4,"All Wheel Drive",57,8.2,Petrol,240,365,Automatic,"5 Seater",7.5,,,,200,Ford-Escape-2024-2.0L-EcoBoost-SE-AWD,Ford-Escape-2024-2.0L-EcoBoost-SE-AWD,Publish,"0000-00-00 00:00:00"
448,"2.7T ST AWD",Edge,2-7t-st-awd,KSA,TBD,448,271,2.7,N/A,"All Wheel Drive",68,11.7,Petrol,335,542,Automatic,"5 Seater",6,,,,,Ford-Edge-2024-2.7T-ST-AWD,Ford-Edge-2024-2.7T-ST-AWD,Publish,"0000-00-00 00:00:00"
449,"3.5T EcoBoost XLT AWD",Expedition,3-5t-ecoboost-xlt-awd,KSA,TBD,449,271,3.5,6,"All Wheel Drive",106,11,Petrol,375,637,Automatic,"8 Seater",7.5,,,,185,Ford-Expedition-2024-3.5T-EcoBoost-XLT-AWD,Ford-Expedition-2024-3.5T-EcoBoost-XLT-AWD,Publish,"0000-00-00 00:00:00"
450,"3.5T EcoBoost XLT (4X2)",Expedition,3-5t-ecoboost-xlt-4x2,KSA,TBD,450,271,3.5,6,"Rear Wheel Drive",106,11,Petrol,375,637,Automatic,"8 Seater",7.5,,,,185,Ford-Expedition-2024-3.5T-EcoBoost-XLT-4X2,Ford-Expedition-2024-3.5T-EcoBoost-XLT-4X2,Publish,"0000-00-00 00:00:00"
451,"3.5T EcoBoost XLT - Leather (4X2)",Expedition,3-5t-ecoboost-xlt---leather-4x2,KSA,TBD,451,271,3.5,6,"Rear Wheel Drive",106,11,Petrol,375,637,Automatic,"8 Seater",7.5,,,,185,Ford-Expedition-2024-3.5T-EcoBoost-XLT---Leather-4X2,Ford-Expedition-2024-3.5T-EcoBoost-XLT---Leather-4X2,Publish,"0000-00-00 00:00:00"
452,"3.5T EcoBoost XLT - Leather AWD",Expedition,3-5t-ecoboost-xlt---leather-awd,KSA,TBD,452,271,3.5,6,"All Wheel Drive",106,11,Petrol,375,637,Automatic,"8 Seater",7.5,,,,185,Ford-Expedition-2024-3.5T-EcoBoost-XLT---Leather-AWD,Ford-Expedition-2024-3.5T-EcoBoost-XLT---Leather-AWD,Publish,"0000-00-00 00:00:00"
453,"3.5T EcoBoost XLT - Leather AWD (Long)",Expedition,3-5t-ecoboost-xlt---leather-awd-long,KSA,TBD,453,271,3.5,6,"All Wheel Drive",106,11,Petrol,375,637,Automatic,"8 Seater",7.5,,,,185,Ford-Expedition-2024-3.5T-EcoBoost-XLT---Leather-AWD-Long,Ford-Expedition-2024-3.5T-EcoBoost-XLT---Leather-AWD-Long,Publish,"0000-00-00 00:00:00"
454,"3.5L EcoBoost XLT 4X2","Expedition EL",3-5l-ecoboost-xlt-4x2,KSA,TBD,454,271,3.5,N/A,"Front Wheel Drive",78.8,17,Petrol,375,637,Automatic,"8 Seater",9.5,,,,160,Ford-Expedition-EL-2024-3.5L-EcoBoost-XLT-4X2,Ford-Expedition-EL-2024-3.5L-EcoBoost-XLT-4X2,Publish,"0000-00-00 00:00:00"
455,"2.3L EcoBoost Fastback Premium",Mustang,2-3l-ecoboost-fastback-premium,KSA,TBD,455,271,2.3,4,"Rear Wheel Drive",58,10.2,Petrol,310,434,Automatic,"4 Seater",5.4,,,,240,Ford-Mustang-2024-2.3L-EcoBoost-Fastback-Premium,Ford-Mustang-2024-2.3L-EcoBoost-Fastback-Premium,Publish,"0000-00-00 00:00:00"
456,"3.5L EcoBoost Super Cab (Mid Range)","F-150 Raptor",3-5l-ecoboost-super-cab-mid-range,KSA,TBD,456,271,3.5,N/A,"All Wheel Drive",98,14.7,Petrol,422,678,Automatic,"5 Seater",5.5,,,,170,Ford-F-150-Raptor-2024-3.5L-EcoBoost-Super-Cab-Mid-Range,Ford-F-150-Raptor-2024-3.5L-EcoBoost-Super-Cab-Mid-Range,Publish,"0000-00-00 00:00:00"
457,"R V8","F-150 Raptor",r-v8,KSA,TBD,457,271,5.2,8,"All Wheel Drive",98,,Petrol,,,Automatic,"5 Seater",,,,,,Ford-F-150-Raptor-2024-R-V8,Ford-F-150-Raptor-2024-R-V8,Publish,"0000-00-00 00:00:00"
458,"5.0L Fastback GT Premium (California Special)",Mustang,5-0l-fastback-gt-premium-california-special,KSA,TBD,458,271,5,8,"Rear Wheel Drive",60,12.3,Petrol,450,570,Automatic,"4 Seater",4.7,,,,240,Ford-Mustang-2024-5.0L-Fastback-GT-Premium-California-Special,Ford-Mustang-2024-5.0L-Fastback-GT-Premium-California-Special,Publish,"0000-00-00 00:00:00"
459,"5.0L V8 Mach 1 Premium Fastback",Mustang,5-0l-v8-mach-1-premium-fastback,KSA,TBD,459,271,5,8,"Rear Wheel Drive",60,11.7,Petrol,460,529,Automatic,"4 Seater",4.4,,,,249,Ford-Mustang-2024-5.0L-V8-Mach-1-Premium-Fastback,Ford-Mustang-2024-5.0L-V8-Mach-1-Premium-Fastback,Publish,"0000-00-00 00:00:00"
460,"3.5L EcoBoost Platinum 4X4","Expedition EL",3-5l-ecoboost-platinum-4x4,KSA,TBD,460,271,3.5,6,"All Wheel Drive",87.8,12.5,Petrol,400,651,Automatic,"8 Seater",9.5,,,,160,Ford-Expedition-EL-2024-3.5L-EcoBoost-Platinum-4X4,Ford-Expedition-EL-2024-3.5L-EcoBoost-Platinum-4X4,Publish,"0000-00-00 00:00:00"
461,"3.5L EcoBoost Platinum 4X2","Expedition EL",3-5l-ecoboost-platinum-4x2,KSA,TBD,461,271,3.5,6,"Front Wheel Drive",127,11,Petrol,380,637,Automatic,"8 Seater",9.5,,,,160,Ford-Expedition-EL-2024-3.5L-EcoBoost-Platinum-4X2,Ford-Expedition-EL-2024-3.5L-EcoBoost-Platinum-4X2,Publish,"0000-00-00 00:00:00"
462,"3.5L EcoBoost Super Cab (Luxury Range)","F-150 Raptor",3-5l-ecoboost-super-cab-luxury-range,KSA,TBD,462,271,3.5,N/A,"All Wheel Drive",98,14.7,Petrol,422,678,Automatic,"5 Seater",5.5,,,,170,Ford-F-150-Raptor-2024-3.5L-EcoBoost-Super-Cab-Luxury-Range,Ford-F-150-Raptor-2024-3.5L-EcoBoost-Super-Cab-Luxury-Range,Publish,"0000-00-00 00:00:00"
463,"5.0L V8 Convertible GT Premium",Mustang,5-0l-v8-convertible-gt-premium,KSA,TBD,463,271,5,8,"Rear Wheel Drive",60,12.3,Petrol,460,569,Automatic,"4 Seater",4.7,,,,240,Ford-Mustang-2024-5.0L-V8-Convertible-GT-Premium,Ford-Mustang-2024-5.0L-V8-Convertible-GT-Premium,Publish,"0000-00-00 00:00:00"
464,"1.5T Exclusive","T5 Evo",1-5t-exclusive,KSA,"97,900",464,313,1.5,4,"Front Wheel Drive",55,,Petrol,192,285,Automatic,"5 Seater",,,,,,Forthing-T5-Evo-2024-1.5T-Exclusive,Forthing-T5-Evo-2024-1.5T-Exclusive,Publish,"0000-00-00 00:00:00"
465,1.5T,U-Tour,1-5t,KSA,"1,05,000",465,313,1.5,4,"Front Wheel Drive",55,,Petrol,197,285,Automatic,"7 Seater",,,,,,Forthing-U-Tour-2024-1.5T,Forthing-U-Tour-2024-1.5T,Publish,"0000-00-00 00:00:00"
466,"C Panel Van",View,c-panel-van,KSA,DISCONTINUED,466,321,2.2,4,"Rear Wheel Drive",,10,Petrol,76,193,Manual,"2 Seater",,,,,120,Foton-View-2024-C-Panel-Van,Foton-View-2024-C-Panel-Van,Publish,"0000-00-00 00:00:00"
467,"2.4L Single Cabin (4X2)",Tunland,2-4l-single-cabin-4x2,KSA,TBD,467,321,2.4,4,"Rear Wheel Drive",75,9.5,Petrol,136,200,Manual,"2 Seater",15.5,,,,160,Foton-Tunland-2024-2.4L-Single-Cabin-4X2,Foton-Tunland-2024-2.4L-Single-Cabin-4X2,Publish,"0000-00-00 00:00:00"
468,"2.4L Double Cabin (4X2)",Tunland,2-4l-double-cabin-4x2,KSA,TBD,468,321,2.4,4,"Rear Wheel Drive",75,9.5,Petrol,136,200,Manual,"5 Seater",15.5,,,,160,Foton-Tunland-2024-2.4L-Double-Cabin-4X2,Foton-Tunland-2024-2.4L-Double-Cabin-4X2,Publish,"0000-00-00 00:00:00"
469,"CS2 Mini Bus",View,cs2-mini-bus,KSA,DISCONTINUED,469,321,2.4,4,"Rear Wheel Drive",,11.3,Petrol,134,200,Manual,"15 Seater",,,,,145,Foton-View-2024-CS2-Mini-Bus,Foton-View-2024-CS2-Mini-Bus,Publish,"0000-00-00 00:00:00"
470,"2.0T GL (2WD)",GS8,2-0t-gl-2wd,KSA,"1,08,905",470,253,2,4,"Front Wheel Drive",66,7.5,Petrol,248,400,Automatic,"7 Seater",9.5,,,,200,GAC-GS8-2024-2.0T-GL-2WD,GAC-GS8-2024-2.0T-GL-2WD,Publish,"0000-00-00 00:00:00"
471,"2.0T GT (4WD)",GS8,2-0t-gt-4wd,KSA,"1,29,835",471,253,2,4,"All Wheel Drive",66,8.3,Petrol,248,400,Automatic,"7 Seater",9,,,,200,GAC-GS8-2024-2.0T-GT-4WD,GAC-GS8-2024-2.0T-GT-4WD,Publish,"0000-00-00 00:00:00"
472,"2.0T GL (4WD)",GS8,2-0t-gl-4wd,KSA,TBD,472,253,2,4,"All Wheel Drive",66,8.3,Petrol,248,400,Automatic,"7 Seater",9,,,,200,GAC-GS8-2024-2.0T-GL-4WD,GAC-GS8-2024-2.0T-GL-4WD,Publish,"0000-00-00 00:00:00"
473,"2.0T GX (4WD)",GS8,2-0t-gx-4wd,KSA,"1,42,485",473,253,2,4,"All Wheel Drive",66,8.3,Petrol,248,400,Automatic,"7 Seater",9,,,,200,GAC-GS8-2024-2.0T-GX-4WD,GAC-GS8-2024-2.0T-GX-4WD,Publish,"0000-00-00 00:00:00"
474,"2.0T GT (2WD)",GS8,2-0t-gt-2wd,KSA,TBD,474,253,2,4,"Front Wheel Drive",66,7.5,Petrol,248,400,Automatic,"7 Seater",9.5,,,,200,GAC-GS8-2024-2.0T-GT-2WD,GAC-GS8-2024-2.0T-GT-2WD,Publish,"0000-00-00 00:00:00"
475,"1.3T GE",GS3,1-3t-ge,KSA,"57,385",475,253,1.3,4,"Front Wheel Drive",50,7.5,Petrol,202,137,Automatic,"5 Seater",,,,,,GAC-GS3-2024-1.3T-GE,GAC-GS3-2024-1.3T-GE,Publish,"0000-00-00 00:00:00"
476,"1.5T GS",GS4,1-5t-gs,KSA,TBD,476,253,1.5,4,"Front Wheel Drive",55,6.8,Petrol,165,265,Automatic,"5 Seater",,,,,,GAC-GS4-2024-1.5T-GS,GAC-GS4-2024-1.5T-GS,Publish,"0000-00-00 00:00:00"
477,"1.5T GB",GS4,1-5t-gb,KSA,TBD,477,253,1.5,4,"Front Wheel Drive",55,6.8,Petrol,165,265,Automatic,"5 Seater",,,,,180,GAC-GS4-2024-1.5T-GB,GAC-GS4-2024-1.5T-GB,Publish,"0000-00-00 00:00:00"
478,"2.0T GP",GN8,2-0t-gp,KSA,TBD,478,253,2,4,"Front Wheel Drive",68,8.9,Petrol,198,320,Automatic,"7 Seater",,,,,,GAC-GN8-2024-2.0T-GP,GAC-GN8-2024-2.0T-GP,Publish,"0000-00-00 00:00:00"
479,"2.0T GL",GN8,2-0t-gl,KSA,TBD,479,253,2,4,"Front Wheel Drive",70,7.9,Petrol,198,300,Automatic,"4 Seater",9,,,,200,GAC-GN8-2024-2.0T-GL,GAC-GN8-2024-2.0T-GL,Publish,"0000-00-00 00:00:00"
480,"1.5T GE",GA6,1-5t-ge,KSA,"80,385",480,253,1.5,4,"Front Wheel Drive",55,6.6,Petrol,167,265,Automatic,"5 Seater",9.5,,,,185,GAC-GA6-2024-1.5T-GE,GAC-GA6-2024-1.5T-GE,Publish,"0000-00-00 00:00:00"
481,"1.5T GL",GA6,1-5t-gl,KSA,"91,885",481,253,1.5,4,"Front Wheel Drive",47,,Diesel,168,270,Automatic,"5 Seater",6.9,,,,,GAC-GA6-2024-1.5T-GL,GAC-GA6-2024-1.5T-GL,Publish,"0000-00-00 00:00:00"
482,"1.5T GT",GA6,1-5t-gt,KSA,TBD,482,253,1.5,4,"Front Wheel Drive",55,6.6,Petrol,167,265,Automatic,"5 Seater",9.5,,,,185,GAC-GA6-2024-1.5T-GT,GAC-GA6-2024-1.5T-GT,Publish,"0000-00-00 00:00:00"
483,"2.0T GL",GA8,2-0t-gl,KSA,TBD,483,253,2,4,"All Wheel Drive",54,6.7,Petrol,218,350,Automatic,"5 Seater",,,,,,GAC-GA8-2024-2.0T-GL,GAC-GA8-2024-2.0T-GL,Publish,"0000-00-00 00:00:00"
484,"1.3T GE",GA4,1-3t-ge,KSA,TBD,484,253,1.3,4,"Front Wheel Drive",50,7,Petrol,137,202,Automatic,"5 Seater",,,,,,GAC-GA4-2024-1.3T-GE,GAC-GA4-2024-1.3T-GE,Publish,"0000-00-00 00:00:00"
485,"1.5T GE",GN6,1-5t-ge,KSA,TBD,485,253,1.5,4,"Front Wheel Drive",55,6.7,Petrol,169,265,Automatic,"7 Seater",,,,,,GAC-GN6-2024-1.5T-GE,GAC-GN6-2024-1.5T-GE,Publish,"0000-00-00 00:00:00"
486,"1.5T GB",EMPOW,1-5t-gb,KSA,TBD,486,253,1.5,4,"Front Wheel Drive",47,,Diesel,168,270,Automatic,"5 Seater",6.9,,,,,GAC-EMPOW-2024-1.5T-GB,GAC-EMPOW-2024-1.5T-GB,Publish,"0000-00-00 00:00:00"
487,"1.5T GE",EMPOW,1-5t-ge,KSA,TBD,487,253,1.5,4,"Front Wheel Drive",47,,Diesel,168,270,Automatic,"5 Seater",6.9,,,,,GAC-EMPOW-2024-1.5T-GE,GAC-EMPOW-2024-1.5T-GE,Publish,"0000-00-00 00:00:00"
488,"1.5T GL",EMPOW,1-5t-gl,KSA,"87,170",488,253,1.5,4,"Front Wheel Drive",55,6.6,Petrol,167,265,Automatic,"5 Seater",9.5,,,,185,GAC-EMPOW-2024-1.5T-GL,GAC-EMPOW-2024-1.5T-GL,Publish,"0000-00-00 00:00:00"
489,"1.5T GS",EMKOO,1-5t-gs,KSA,TBD,489,253,1.5,4,"Front Wheel Drive",,,Petrol,177,270,Automatic,"5 Seater",,,,,,GAC-EMKOO-2024-1.5T-GS,GAC-EMKOO-2024-1.5T-GS,Publish,"0000-00-00 00:00:00"
